model,accuracy,precision,recall,f1,specificity,mcc,cohen_kappa,train_time_sec,predict_time_sec,roc_auc,pr_auc,log_loss
DecisionTree,0.5354,0.4146,0.4359,0.425,0.6,0.0356,0.0356,0.004,0.0011,0.5179,0.403,16.7476
LightGBM,0.5253,0.3947,0.3846,0.3896,0.6167,0.0013,0.0013,0.0657,0.0039,0.5038,0.4266,1.005
KNN,0.5556,0.4242,0.359,0.3889,0.6833,0.0439,0.0435,0.0021,0.003,0.5628,0.4259,1.4034
XGBoost,0.4848,0.3333,0.3077,0.32,0.6,-0.0938,-0.0936,0.0688,0.0032,0.4974,0.4361,1.3396
RandomForest,0.5253,0.3462,0.2308,0.2769,0.7167,-0.0584,-0.0558,0.3696,0.0206,0.5064,0.4248,0.7233
SVM,0.6061,0.5,0.1282,0.2041,0.9167,0.0728,0.0516,0.0265,0.003,0.4679,0.3911,0.6756
NaiveBayes,0.5859,0.4167,0.1282,0.1961,0.8833,0.0173,0.0131,0.0021,0.0011,0.6154,0.4869,0.6493
LogisticRegression,0.6162,1.0,0.0256,0.05,1.0,0.1253,0.0309,0.0042,0.0013,0.6256,0.4954,0.6579
