feature,rf_importance,mutual_info,abs_correlation,composite_score
Experience,0.15031927961013594,0.021754389605401547,0.0917563757951309,0.8117962642772847
Salary,0.26898526956382374,0.0005477017822392849,0.096164936820377,0.6750588699901329
CustomerID,0.2521804510379054,0.007744161327183807,0.04685249262245982,0.5678374348237385
Gender,0.03756468985345979,0.011412073925577637,0.04854847632302846,0.3215588422295433
Age,0.20390221404099965,0.0,0.011121974878118678,0.2395890696723699
City,0.08704809589367546,0.0,0.015548972960182863,0.08862686329047065
